gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1837785377																										6277413										http://creativecommons.org/licenses/by-nc/4.0/			2018-04-03T15:18:32Z			https://www.inaturalist.org/observations/6277413				© Don Lipmanson some rights reserved	Don Lipmanson												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/6277413	6277413		Don Lipmanson								wild																					2006-04-05T11:11:11-07:00	18:11:11Z						Wed Apr 05 2006 11:11:11 GMT-0700 (PDT)																PG	Oro				Oro, , Oro, PG											-9.029841746	149.3041333225		30472																																			23535417				2018-04-03T15:15:02Z				136345								Amphiprion clarkii								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion				species							
1837783881																										48351										http://creativecommons.org/licenses/by-nc/4.0/			2018-03-31T10:43:43Z			https://www.inaturalist.org/observations/48351				© David R some rights reserved	David R												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				http://www.inaturalist.org/observations/48351	48351		David R								wild																					2008-12-28							2008-12-28																TH	Krabi				Ao Nang											7.9959973508	98.8439941406																																					23295608				2018-03-29T03:56:55Z				132688								Amphiprion ocellaris								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion				species							
1837781552																										1145508										http://creativecommons.org/licenses/by-nc/4.0/			2018-03-31T10:44:32Z			https://www.inaturalist.org/observations/1145508				© David R some rights reserved	David R												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				http://www.inaturalist.org/observations/1145508	1145508		David R								wild																					2014-11-03T04:45:00+10:00	18:45:00Z						November 03, 2014 04:45																AU	Queensland				Lady Elliot Island, AU											-24.11288	152.714019		627																																			23284819				2018-03-28T23:12:09Z				338421								Amphiprion akindynos								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion				species							
1837781541																										1132921										http://creativecommons.org/licenses/by/4.0/			2018-04-01T01:25:48Z			https://www.inaturalist.org/observations/1132921				© Mark Rosenstein some rights reserved	Mark Rosenstein												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				http://www.inaturalist.org/observations/1132921	1132921		Mark Rosenstein								wild																					2014-11-24T08:58:31-05:00	13:58:31Z						2014-11-24 08:58:31																SB	Central				Guadalcanal, Solomon Islands											-9.105455	160.182475																																					23413477				2018-04-01T01:25:47Z				136345								Amphiprion clarkii								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion				species							
1837781463																										1072958										http://creativecommons.org/licenses/by-nc/4.0/			2018-03-31T10:44:07Z			https://www.inaturalist.org/observations/1072958				© David R some rights reserved	David R												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				http://www.inaturalist.org/observations/1072958	1072958		David R								wild																					2014-11-01T05:15:00-10:00	15:15:00Z						November 01, 2014 05:15																AU	Queensland				Lady Elliott Island, AU											-24.11288	152.714019		627																																			23295518				2018-03-29T03:54:39Z				338421								Amphiprion akindynos								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion				species							
1837781459																										1068210										http://creativecommons.org/licenses/by-nc/4.0/			2018-03-31T10:44:03Z			https://www.inaturalist.org/observations/1068210				© David R some rights reserved	David R												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				http://www.inaturalist.org/observations/1068210	1068210		David R								wild																					2014-10-31T05:24:00-10:00	15:24:00Z						October 31, 2014 05:24																AU	Queensland				Lady Elliott Island, AU											-24.112018	152.711358		350																																			23295532				2018-03-29T03:55:06Z				338421								Amphiprion akindynos								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion				species							
1837777671																										10635222										http://creativecommons.org/licenses/by/4.0/			2018-04-05T13:37:07Z			https://www.inaturalist.org/observations/10635222				© Mark Rosenstein some rights reserved	Mark Rosenstein												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/10635222	10635222		Mark Rosenstein								wild																					2018-03-22T18:33:00-04:00	22:33:00Z						2018/03/22 6:33 PM EDT																SB	Central				Russell Islands, Solomon Islands											-9.040355	159.0407416667																																					23626236				2018-04-05T11:53:49Z				424221								Amphiprion leucokranos								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion				species							
1837774993																										10626035										http://creativecommons.org/licenses/by/4.0/			2018-04-05T01:22:33Z			https://www.inaturalist.org/observations/10626035				© Mark Rosenstein some rights reserved	Mark Rosenstein												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/10626035	10626035		Mark Rosenstein								wild																					2018-03-22T18:33:00-04:00	22:33:00Z						2018/03/22 6:33 PM EDT																SB	Central				Russell Islands, Solomon Islands											-9.040355	159.0407416667																																					23606787				2018-04-05T00:00:40Z				93956								Amphiprion sandaracinos								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion				species							
1837766171																										10593792										http://creativecommons.org/licenses/by/4.0/			2018-04-04T20:25:48Z			https://www.inaturalist.org/observations/10593792				© Mark Rosenstein some rights reserved	Mark Rosenstein												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/10593792	10593792		Mark Rosenstein								wild																					2018-03-21T18:53:00-04:00	22:53:00Z						2018/03/21 6:53 PM EDT																SB	Central				Lovukol, Central, Solomon Islands											-9.0199466667	159.042805																																					23538963				2018-04-03T16:47:59Z				93956								Amphiprion sandaracinos								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion				species							
1837765148																										10589714										http://creativecommons.org/licenses/by/4.0/			2018-04-04T20:38:21Z			https://www.inaturalist.org/observations/10589714				© Mark Rosenstein some rights reserved	Mark Rosenstein												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/10589714	10589714		Mark Rosenstein								wild																					2018-03-21T15:51:00-04:00	19:51:00Z						2018/03/21 3:51 PM EDT																SB	Central				Russell Islands, Solomon Islands											-9.0265016667	159.0434																																					23528977				2018-04-03T11:32:40Z				136345								Amphiprion clarkii								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion				species							
