gbifID;identifier;license
1914330921;https://static.inaturalist.org/photos/25784265/original.jpeg?1538259096;http://creativecommons.org/licenses/by-nc/4.0/
1914326420;https://static.inaturalist.org/photos/25741532/original.jpeg?1538201217;http://creativecommons.org/licenses/by-nc/4.0/
1914326353;https://static.inaturalist.org/photos/25741869/original.jpeg?1538202321;http://creativecommons.org/licenses/by-nc/4.0/
1914326351;https://static.inaturalist.org/photos/25741927/original.jpeg?1538202495;http://creativecommons.org/licenses/by-nc/4.0/
1914321203;https://static.inaturalist.org/photos/25684329/original.jpeg?1538110686;http://creativecommons.org/licenses/by-nc/4.0/
1914309644;https://static.inaturalist.org/photos/20663911/original.jpeg?1530525978;http://creativecommons.org/licenses/by-nc/4.0/
1914248868;https://static.inaturalist.org/photos/25687750/original.jpeg?1538121364;http://creativecommons.org/licenses/by-nc/4.0/
1914242203;https://static.inaturalist.org/photos/25619670/original.jpeg?1538007930;http://creativecommons.org/licenses/by-nc/4.0/
1914237554;https://static.inaturalist.org/photos/25577649/original.jpeg?1537951681;http://creativecommons.org/licenses/by-nc/4.0/
1914231642;https://static.inaturalist.org/photos/25529056/original.jpeg?1537874571;http://creativecommons.org/licenses/by-nc/4.0/
1914224213;https://static.inaturalist.org/photos/25468909/original.jpeg?1537774793;http://creativecommons.org/licenses/by-nc/4.0/
1914224213;https://static.inaturalist.org/photos/25468913/original.jpeg?1537774802;http://creativecommons.org/licenses/by-nc/4.0/
1914215863;https://static.inaturalist.org/photos/25399526/original.jpg?1537677015;http://creativecommons.org/licenses/by-nc/4.0/
1914197151;https://static.inaturalist.org/photos/24154638/original.jpeg?1535853386;http://creativecommons.org/licenses/by-nc/4.0/
1914197151;https://static.inaturalist.org/photos/24154639/original.jpeg?1535853389;http://creativecommons.org/licenses/by-nc/4.0/
1913703986;https://static.inaturalist.org/photos/25168457/original.jpeg?1537368628;http://creativecommons.org/licenses/by-nc/4.0/
1913703932;https://static.inaturalist.org/photos/25167968/original.jpeg?1537367952;http://creativecommons.org/licenses/by-nc/4.0/
1913703851;https://static.inaturalist.org/photos/25167197/original.jpeg?1537366989;http://creativecommons.org/licenses/by-nc/4.0/
1913690577;https://static.inaturalist.org/photos/25057387/original.png?1537190975;http://creativecommons.org/licenses/by-nc/4.0/
1913690577;https://static.inaturalist.org/photos/25057398/original.png?1537190990;http://creativecommons.org/licenses/by-nc/4.0/
1913690159;https://static.inaturalist.org/photos/25052456/original.jpeg?1537181749;http://creativecommons.org/licenses/by-nc/4.0/
1913689941;https://static.inaturalist.org/photos/25051269/original.jpeg?1537177788;http://creativecommons.org/licenses/by-nc/4.0/
1913689941;https://static.inaturalist.org/photos/25051271/original.jpeg?1537177791;http://creativecommons.org/licenses/by-nc/4.0/
1913689941;https://static.inaturalist.org/photos/25051274/original.jpeg?1537177809;http://creativecommons.org/licenses/by-nc/4.0/
1913689895;https://static.inaturalist.org/photos/25051278/original.jpeg?1537177823;http://creativecommons.org/licenses/by-nc/4.0/
1913689895;https://static.inaturalist.org/photos/25051283/original.jpeg?1537177853;http://creativecommons.org/licenses/by-nc/4.0/
1913689884;https://static.inaturalist.org/photos/25051261/original.jpeg?1537177775;http://creativecommons.org/licenses/by-nc/4.0/
1913689884;https://static.inaturalist.org/photos/25051263/original.jpeg?1537177779;http://creativecommons.org/licenses/by-nc/4.0/
1913689884;https://static.inaturalist.org/photos/25051265/original.jpeg?1537177781;http://creativecommons.org/licenses/by-nc/4.0/
1913689489;https://static.inaturalist.org/photos/25047500/original.jpeg?1537164129;http://creativecommons.org/licenses/by-nc/4.0/
1913681458;https://static.inaturalist.org/photos/24975911/original.jpg?1537082871;http://creativecommons.org/licenses/by-nc/4.0/
1913672521;https://static.inaturalist.org/photos/24911728/original.png?1536991875;http://creativecommons.org/licenses/by-nc/4.0/
1913672521;https://static.inaturalist.org/photos/24911736/original.png?1536991887;http://creativecommons.org/licenses/by-nc/4.0/
1913671059;https://static.inaturalist.org/photos/24900943/original.jpeg?1536972365;http://creativecommons.org/licenses/by-nc/4.0/
1913190948;https://static.inaturalist.org/photos/24749515/original.jpeg?1536744710;http://creativecommons.org/licenses/by-nc/4.0/
1913159910;https://static.inaturalist.org/photos/24497076/original.jpeg?1536375784;http://creativecommons.org/licenses/by-nc/4.0/
1901067972;https://static.inaturalist.org/photos/24294282/original.png?1536037551;http://creativecommons.org/licenses/by/4.0/
1901067972;https://static.inaturalist.org/photos/24294298/original.png?1536037580;http://creativecommons.org/licenses/by/4.0/
1901067972;https://static.inaturalist.org/photos/24294311/original.png?1536037596;http://creativecommons.org/licenses/by/4.0/
1901067879;https://static.inaturalist.org/photos/24294507/original.png?1536038061;http://creativecommons.org/licenses/by/4.0/
1901059738;https://static.inaturalist.org/photos/24226894/original.jpeg?1535951839;http://creativecommons.org/licenses/by-nc/4.0/
1901059647;https://static.inaturalist.org/photos/24226904/original.jpeg?1535951848;http://creativecommons.org/licenses/by-nc/4.0/
